;detection_history.o1;detection_history.o2;detection_history.o3;detection_history.o4;detection_history.o5;detection_history.o6;detection_history.o7;detection_history.o8;detection_history.o9;detection_history.o10;detection_history.o11;detection_history.o12;detection_history.o13;detection_history.o14;detection_history.o15;detection_history.o16;detection_history.o17;detection_history.o18;detection_history.o19;detection_history.o20;detection_history.o21;detection_history.o22;detection_history.o23;detection_history.o24;detection_history.o25;detection_history.o26;detection_history.o27;detection_history.o28;detection_history.o29;detection_history.o30;detection_history.o31;detection_history.o32;detection_history.o33;detection_history.o34;detection_history.o35
CAM1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
CAM10;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM11;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;NA
CAM12;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;NA
CAM13;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM14;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;NA
CAM15;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
CAM16;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM17;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM18;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM19;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM2;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;NA
CAM20;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
CAM21;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAM22;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM23;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0
CAM24;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM25;0;0;0;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM26;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM27;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
CAM28;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;NA
CAM29;1;0;0;0;1;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM3;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;NA
CAM30;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CAM4;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;NA;NA
CAM5;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;NA;NA
CAM6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA
CAM7;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA
CAM8;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;NA
CAM9;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
