,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,detection_history.o5,detection_history.o6,detection_history.o7,detection_history.o8,detection_history.o9,detection_history.o10,detection_history.o11
CAM1,0,1,1,1,1,0,0,0,0,0,0
CAM2,0,1,1,1,0,0,1,0,1,1,1
CAM3,1,1,1,1,1,1,1,1,1,1,1
CAM10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM4,0,1,1,1,1,1,1,1,1,1,1
CAM5,0,0,1,1,1,0,0,0,1,1,1
CAM6,0,0,0,0,1,0,0,1,0,0,0
CAM7,1,1,0,1,0,0,0,0,0,0,1
CAM8,1,1,1,1,1,1,0,1,0,1,1
CAM9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM11,0,1,1,1,1,1,0,1,1,1,0
CAM12,1,1,0,1,1,1,1,0,1,0,1
CAM13,0,0,1,1,0,0,NA,NA,NA,NA,NA
CAM14,0,1,1,1,1,1,1,0,1,1,0
CAM15,1,1,1,1,1,1,0,0,0,0,0
CAM16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM17,1,1,1,1,1,0,0,0,NA,NA,NA
CAM18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM19,1,1,1,1,1,1,NA,NA,NA,NA,NA
CAM20,0,1,1,0,0,0,NA,0,0,0,0
CAM21,1,1,1,1,0,0,0,0,0,0,0
CAM22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM23,0,1,1,1,1,1,0,1,1,1,1
CAM24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM25,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM26,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
CAM27,1,1,0,1,0,0,1,0,0,0,0
CAM28,0,1,1,1,0,1,0,1,0,0,1
CAM29,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
CAM30,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM31,0,0,1,1,0,1,0,0,0,0,1
CAM32,1,1,1,1,0,0,1,1,0,1,1
CAM33,0,1,1,0,0,1,0,1,NA,NA,NA
CAM34,0,0,1,0,0,1,NA,NA,NA,NA,NA
CAM35,1,0,1,1,0,NA,NA,NA,NA,1,1
CAM36,1,1,1,1,0,1,1,1,1,1,1
CAM37,1,1,1,1,1,0,1,1,1,1,1
CAM38,0,1,1,1,0,1,1,1,0,0,0
CAM39,0,1,0,1,1,0,1,1,1,1,NA
CAM40,0,0,0,0,0,0,0,0,0,0,0
CAM41,0,0,0,1,0,0,0,0,0,0,0
CAM42,0,0,0,0,1,1,0,0,0,0,0
CAM43,0,0,0,0,0,0,0,0,0,0,0
CAM44,0,1,0,1,0,1,1,0,1,0,1
CAM45,0,1,0,0,1,1,1,0,0,0,0
CAM46,0,0,0,0,1,1,0,1,0,1,0
CAM47,0,0,0,1,1,1,0,0,1,1,0
CAM48,0,1,1,1,1,1,1,0,NA,NA,NA
CAM49,0,0,0,1,0,1,0,1,0,1,1
CAM50,0,0,0,0,0,0,0,0,0,0,0
CAM51,0,1,0,0,0,0,0,0,0,0,1
CAM52,0,0,0,1,1,1,0,0,0,0,0
CAM53,0,0,0,0,0,NA,NA,NA,NA,NA,NA
CAM54,NA,0,0,0,0,0,0,0,0,0,0
CAM55,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
CAM56,0,0,0,0,0,1,1,0,1,0,0
CAM57,0,0,0,1,0,1,1,0,1,0,0
CAM58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM59,1,0,NA,NA,NA,1,1,1,1,0,0
CAM60,1,0,0,0,0,1,0,0,1,1,0
