Station;utm_y;utm_x;Setup_date;Retrieval_date;Problem1_from;Problem1_to;Problem2_from;Problem2_to
CAM1;2958.554376;624.6516774;07/09/2018;10/10/2018;;;;
CAM2;2958.489466;625.6610866;07/09/2018;10/10/2018;;;;
CAM3;2958.574431;626.6721943;07/09/2018;10/10/2018;;;;
CAM10;2960.574707;630.8283748;08/09/2018;11/10/2018;11/09/2018;11/10/2018;;
CAM4;2958.608168;627.6818206;08/09/2018;10/10/2018;;;;
CAM5;2958.880516;628.6600769;08/09/2018;10/10/2018;;;;
CAM6;2956.589189;630.3190334;08/09/2018;11/10/2018;;;;
CAM7;2957.551813;630.6111352;08/09/2018;11/10/2018;;;;
CAM8;2958.56266;630.7344917;08/09/2018;11/10/2018;;;;
CAM9;2959.571405;630.8040382;08/09/2018;11/10/2018;11/09/2018;11/10/2018;;
CAM11;2947.646583;626.8844823;09/09/2018;12/10/2018;;;;
CAM12;2947.796058;628.0372669;09/09/2018;12/10/2018;;;;
CAM13;2947.870813;629.0645609;09/09/2018;12/10/2018;29/09/2018;12/10/2018;;
CAM14;2948.033288;630.0498366;09/09/2018;12/10/2018;;;;
CAM15;2948.195862;631.0687379;09/09/2018;12/10/2018;;;;
CAM16;2946.758124;628.2106944;09/09/2018;13/10/2018;12/09/2018;13/10/2018;;
CAM17;2946.092902;627.3637464;09/09/2018;13/10/2018;04/10/2018;13/10/2018;;
CAM18;2946.196007;626.360725;09/09/2018;13/10/2018;12/09/2018;13/10/2018;;
CAM19;2946.038631;625.3681566;10/09/2018;13/10/2018;29/09/2018;13/10/2018;;
CAM20;2946.029211;624.2955675;10/09/2018;13/10/2018;30/09/2018;30/09/2018;;
CAM21;2946.066979;621.3227092;10/09/2018;14/10/2018;;;;
CAM22;2946.352367;620.3561689;10/09/2018;14/10/2018;11/09/2018;14/10/2018;;
CAM23;2946.704239;619.3734217;10/09/2018;14/10/2018;;;;
CAM24;2947.070962;618.4429581;10/09/2018;14/10/2018;16/09/2018;14/10/2018;;
CAM25;2947.430334;617.4645377;10/09/2018;14/10/2018;17/09/2018;14/10/2018;;
CAM26;2946.508614;622.3246201;11/09/2018;14/10/2018;25/09/2018;14/10/2018;;
CAM27;2947.254536;621.647964;11/09/2018;14/10/2018;;;;
CAM28;2947.63539;620.7297741;11/09/2018;14/10/2018;;;;
CAM29;2948.090039;619.8290637;11/09/2018;14/10/2018;20/09/2018;14/10/2018;;
CAM30;2948.422336;618.8701395;11/09/2018;14/10/2018;17/09/2018;14/10/2018;;
CAM31;2960.386821;620.7114771;16/10/2018;30/11/2018;;;;
CAM32;2959.647317;620.0195743;16/10/2018;30/11/2018;23/11/2018;30/11/2018;;
CAM33;2959.032693;619.2088541;16/10/2018;30/11/2018;11/11/2018;30/11/2018;;
CAM34;2958.286047;618.5012408;16/10/2018;30/11/2018;4/11/2018;30/11/2018;;
CAM35;2962.618194;620.109706;16/10/2018;30/11/2018;1/11/2018;10/11/2018;;
CAM36;2963.538849;620.7095232;17/10/2018;30/11/2018;;;;
CAM37;2964.41641;621.3058869;17/10/2018;30/11/2018;;;;
CAM38;2965.367651;621.7052211;17/10/2018;30/11/2018;;;;
CAM39;2966.260651;622.2886511;17/10/2018;30/11/2018;18/11/2018;30/11/2018;;
CAM40;2952.945205;634.4625386;17/10/2018;30/11/2018;26/11/2018;30/11/2018;;
CAM41;2952.293302;633.6824622;18/10/2018;1/12/2018;;;;
CAM42;2951.542635;633.0072424;18/10/2018;1/12/2018;;;;
CAM43;2950.829305;632.2773104;18/10/2018;1/12/2018;;;;
CAM44;2950.157641;631.5213846;18/10/2018;1/12/2018;;;;
CAM45;2955.149868;634.7263103;18/10/2018;1/12/2018;;;;
CAM46;2956.15988;634.9842906;19/10/2018;1/12/2018;;;;
CAM47;2957.143272;635.2286816;19/10/2018;1/12/2018;;;;
CAM48;2957.89892;635.9086774;19/10/2018;1/12/2018;14/11/2018;1/12/2018;;
CAM49;2958.824794;636.3344059;19/10/2018;1/12/2018;21/11/2018;1/12/2018;;
CAM50;2945.489863;616.8636751;19/10/2018;1/12/2018;;;;
CAM51;2946.65214;616.889137;21/10/2018;2/12/2018;;;;
CAM52;2944.486287;616.9186928;21/10/2018;2/12/2018;;;;
CAM53;2943.571356;617.3138552;21/10/2018;2/12/2018;5/11/2018;2/12/2018;;
CAM54;2942.966028;618.1717609;21/10/2018;2/12/2018;21/10/2018;21/10/2018;;
CAM55;2944.01122;615.882805;21/10/2018;2/12/2018;30/10/2018;11/11/2018;13/11/2018;2/12/2018
CAM56;2943.919017;614.8641019;22/10/2018;2/12/2018;30/11/2018;2/12/2018;;
CAM57;2943.699995;613.8877466;22/10/2018;2/12/2018;;;;
CAM58;2943.404603;612.8472138;22/10/2018;2/12/2018;22/10/2018;2/12/2018;;
CAM59;2943.166658;611.8421801;22/10/2018;2/12/2018;28/10/2018;5/11/2018;;
CAM60;2948.422336;618.8701395;22/10/2018;2/12/2018;;;;
