Station,utm_y,utm_x,Setup_date,Retrieval_date,Problem1_from,Problem1_to
CAM1,2958.55,624.65,7/9/2018,10/10/2018,,
CAM2,2958.49,625.66,7/9/2018,10/10/2018,,
CAM3,2958.57,626.67,7/9/2018,10/10/2018,,
CAM10,2960.57,630.83,9/9/2018,11/10/2018,11/9/2018,11/10/2018
CAM4,2958.61,627.68,8/9/2018,10/10/2018,,
CAM5,2958.88,628.66,8/9/2018,10/10/2018,,
CAM6,2956.59,630.32,8/9/2018,11/10/2018,,
CAM7,2957.55,630.61,8/9/2018,11/10/2018,,
CAM8,2958.56,630.73,8/9/2018,11/10/2018,,
CAM9,2959.57,630.80,8/9/2018,11/10/2018,11/9/2018,11/10/2018
CAM11,2947.65,626.88,9/9/2018,12/10/2018,,
CAM12,2947.80,628.04,9/9/2018,12/10/2018,,
CAM13,2947.87,629.06,9/9/2018,12/10/2018,29/09/2018,12/10/2018
CAM14,2948.03,630.05,9/9/2018,12/10/2018,,
CAM15,2948.20,631.07,9/9/2018,12/10/2018,,
CAM16,2946.76,628.21,9/9/2018,13/10/2018,12/9/2018,13/10/2018
CAM17,2946.09,627.36,9/9/2018,13/10/2018,4/10/2018,13/10/2018
CAM18,2946.20,626.36,9/9/2018,13/10/2018,12/9/2018,13/10/2018
CAM19,2946.04,625.37,10/9/2018,13/10/2018,29/09/2018,13/10/2018
CAM20,2946.03,624.30,10/9/2018,13/10/2018,30/09/2018,13/10/2018
CAM21,2946.07,621.32,10/9/2018,14/10/2018,,
CAM22,2946.35,620.36,10/9/2018,14/10/2018,11/9/2018,14/10/2018
CAM23,2946.70,619.37,10/9/2018,14/10/2018,,
CAM24,2947.07,618.44,10/9/2018,14/10/2018,16/09/2018,14/10/2018
CAM25,2947.43,617.46,10/9/2018,14/10/2018,17/09/2018,14/10/2018
CAM26,2946.51,622.32,11/9/2018,14/10/2018,25/09/2018,14/10/2018
CAM27,2947.25,621.65,11/9/2018,14/10/2018,,
CAM28,2947.64,620.73,11/9/2018,14/10/2018,,
CAM29,2948.09,619.83,11/9/2018,14/10/2018,20/09/2018,14/10/2018
CAM30,2948.42,618.87,11/9/2018,14/10/2018,17/09/2018,14/10/2018
