CAM_ID;detection_history.o1;detection_history.o2;detection_history.o3;detection_history.o4;detection_history.o5;detection_history.o6;detection_history.o7;detection_history.o8;detection_history.o9;detection_history.o10;detection_history.o11;detection_history.o12;detection_history.o13;detection_history.o14;detection_history.o15;detection_history.o16;detection_history.o17;detection_history.o18;detection_history.o19;detection_history.o20;detection_history.o21;detection_history.o22;detection_history.o23;detection_history.o24;detection_history.o25;detection_history.o26;detection_history.o27;detection_history.o28;detection_history.o29;detection_history.o30;detection_history.o31;detection_history.o32;detection_history.o33;detection_history.o34;detection_history.o35
CAM1;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM10;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM11;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM12;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM13;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM14;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM15;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM16;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM17;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM18;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM19;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM2;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM20;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM21;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM22;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM23;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM24;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM25;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM26;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM27;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM28;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM29;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM3;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM30;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM4;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM7;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM8;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
CAM9;5;5;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1
