CAM_ID;detection_history.o1;detection_history.o2;detection_history.o3;detection_history.o4;detection_history.o5;detection_history.o6;detection_history.o7;detection_history.o8;detection_history.o9;detection_history.o10;detection_history.o11
CAM1;5;5;4;4;3;3;2;2;1;1;1
CAM11;5;5;4;4;3;3;2;2;1;1;1
CAM12;5;5;4;4;3;3;2;2;1;1;1
CAM14;5;5;4;4;3;3;2;2;1;1;1
CAM15;5;5;4;4;3;3;2;2;1;1;1
CAM2;5;5;4;4;3;3;2;2;1;1;1
CAM21;5;5;4;4;3;3;2;2;1;1;1
CAM23;5;5;4;4;3;3;2;2;1;1;1
CAM27;5;5;4;4;3;3;2;2;1;1;1
CAM28;5;5;4;4;3;3;2;2;1;1;1
CAM3;5;5;4;4;3;3;2;2;1;1;1
CAM4;5;5;4;4;3;3;2;2;1;1;1
CAM5;5;5;4;4;3;3;2;2;1;1;1
CAM6;5;5;4;4;3;3;2;2;1;1;1
CAM7;5;5;4;4;3;3;2;2;1;1;1
CAM8;5;5;4;4;3;3;2;2;1;1;1
