,s.detection.1,s.detection.2,s.detection.3,s.detection.4
7,0.934496875,-0.747184938,1.755285034,1.899432544
11,0.925172138,-0.749813676,1.750544851,1.904275937
12,0.948792338,-0.748430128,1.751492384,1.912784805
13,0.950227142,-0.744877657,1.751671065,1.917446546
14,0.948351922,-0.742988571,1.751950491,1.92174847
15,0.944979611,-0.748894316,1.752292038,1.930469663
18,0.934798686,-0.739716445,1.756898783,1.976989618
21,0.94119477,-0.742917759,1.756234785,1.968308576
30,1.028537445,-0.744865472,1.724934795,1.931850164
32,1.02261103,-0.745626426,1.72508362,1.938587148
33,1.02781155,-0.745973378,1.722532065,1.944231742
36,0.932171269,-0.761182822,1.742312981,1.92109089
39,0.926317777,-0.765087092,1.738852766,1.942579231
40,0.977258889,-0.759691884,1.740166564,1.899783837
45,0.950030318,-0.760356148,1.74099984,1.925573693
50,1.010285772,-0.750111997,1.729138968,1.930138608
