Localidad,Cobertura prom 250,Altura prom 250,NDVI prom 250
BurundaP1,87.40304183,981.7916667,0.551790429
BurundaP2,73.58712121,973.625,0.444967029
BurundaP3,88.11450382,928.3333333,0.544319973
BurundaP4,95.04597701,864.4090909,0.546696682
BurundaP5,49.29343629,919.9166667,0.483474632
HumagaP1,94.25,581.7727273,0.466338816
HumagaP2,85.12781955,499.9130435,0.511829443
HumagaP3,79.10227273,441.2083333,0.516993848
HumagaP4,74.53030303,478.1304348,0.489776755
HumagaP5,87.47692308,600.0416667,0.513864593
JagueP1,79.01915709,952.6666667,0.453529186
JagueP2,71.00378788,877.6538462,0.508638458
JagueP3,85.18250951,792.0869565,0.482801
JagueP4,92.6221374,720.75,0.492044343
JagueP5,69.67938931,813.0909091,0.507490204
LiborinaP1,41.04854369,453.3181818,0.367542087
LiborinaP2,42.11299435,440.0833333,0.340463519
LiborinaP3,45.205,458.375,0.270051843
LiborinaP4,35.09405941,463.6818182,0.261303565
LiborinaP5,31.91919192,456.6086957,0.264141714
OrobajoP1,53.31067961,308.0416667,0.451447907
OrobajoP2,35.51851852,305.9545455,0.42656359
OrobajoP3,73.98854962,344.75,0.487137272
OrobajoP4,67.86872587,445.9565217,0.461022921
OrobajoP5,66.05384615,486.5,0.514550021
PescaderoP1,91.54789272,490.6666667,0.531533314
PescaderoP2,79.02671756,460.2916667,0.463820394
PescaderoP3,80.95801527,460.5,0.484952254
PescaderoP4,80.62452107,540.9090909,0.519486832
PescaderoP5,86.48828125,534.6363636,0.516657909
SanJuanP1,34.60536398,1289.181818,0.403993081
SanJuanP2,63.04961832,1198.285714,0.426869657
SanJuanP3,62.56756757,1192.857143,0.434232595
SanJuanP4,63.90494297,1189.625,0.427009792
SanJuanP5,68.11583012,1190.636364,0.473381006
SantaFeP1,54.05426357,537.2916667,0.388471702
SantaFeP2,66.48473282,495.1363636,0.485855965
SantaFeP3,62.10852713,485.0909091,0.550418404
SantaFeP4,31.15969582,508.25,0.506049326
SantaFeP5,53.43076923,562.5,0.471765915
TicuitaP1,79.43846154,427.9166667,0.506719719
TicuitaP2,74.54789272,522.3913043,0.41544562
TicuitaP3,97.16917293,624.5,0.54369591
TicuitaP4,95.42748092,848.7916667,0.525775589
TicuitaP5,88.42748092,845.1304348,0.520456489
ValdiviaP1,62.62445415,259.6666667,0.536923559
ValdiviaP2,54.7991453,268.4583333,0.518340073
ValdiviaP3,72.6023166,295.16,0.517923888
ValdiviaP4,53.51737452,368.7391304,0.533530205
ValdiviaP5,45.97358491,372.9583333,0.501727094
