CAM_ID;lon_utm;lat_utm;ele_msnm;elev_dem;slope;SAVI_sec;MSAVI2;Hare;Cow;soil;veg_obs;sp_dom;aspect;period;transect;VegGAPsec;VegINEGI
CAM1;624651.6774;2958554.376;1133.922241;1132;1.1457601;0.344855487;0.19727391;2;0;Arenoso;M;Larrea;SE;1;1;Dune;MDM
CAM11;626884.4823;2947646.583;1169.920044;1174;0.64056;0.349993676;0.522216022;0;0;Arcilloso;M;Larrea;S;1;2;Op_Shrubland;MDM
CAM12;628037.2669;2947796.058;1171.220459;1170;0;0.194051772;0.201604739;4;2;Arcilloso;M_A;Larrea;flat;1;2;Op_Shrubland;MDM
CAM14;630049.8366;2948033.288;1175.373169;1180;0.20257;0.152833417;0.151269972;2;1;Arcilloso;M_A;Prosopis;SE;1;2;Op_Shrubland;MDM
CAM15;631068.7379;2948195.862;1184.696167;1181;0.64056;0.221529931;0.164949909;4;0;Pedregoso;M_A;Larrea;W;1;2;Dune;MDR
CAM2;625661.0866;2958489.466;1135.540039;1135;0.20257;0.190679029;0.233072147;17;0;Arenoso;M_A;Prosopis;NE;1;1;Dune;VSa/PH
CAM21;621322.7092;2946066.979;1138.158936;1136;1.1457601;0.127900109;0.183178917;7;0;Pedregoso;M_A;Prosopis;NE;1;3;Op_Shrubland;MDR
CAM23;619373.4217;2946704.239;1125.352051;1120;0.20257;0.116630003;0.101792715;1;0;Arcilloso;M_A;Larrea;W;1;3;Op_Shrubland;MDM
CAM27;621647.964;2947254.536;1141.015381;1144;1.9210401;0.215369985;0.262119651;1;0;Pedregoso;M_A;Prosopis;N;1;3;Shrubland;MDR
CAM28;620729.7741;2947635.39;1131.023682;1131;0.730341;0.214279413;0.128719717;3;0;Pedregoso;M_A;Larrea;W;1;3;Shrubland;MDR
CAM3;626672.1943;2958574.431;1134.370117;1131;0.20257;0.187602118;0.165167525;11;0;Pedregoso;M_A;Larrea;NE;1;1;Dune;VD
CAM4;627681.8206;2958608.168;1126.435669;1130;0;0.202246547;0.336521268;5;0;Arcilloso;M_A;Prosopis;flat;1;1;Grassland;VD
CAM5;628660.0769;2958880.516;1122.976685;1130;0.572939;0.183580488;0.294122934;0;0;Arcilloso;P_M;Pleuraphis;S;1;1;Dune;VSa/PH
CAM6;630319.0334;2956589.189;1138.242065;1140;0;0.188107908;0.170514032;3;0;Arcilloso;M_A;Prosopis;flat;1;1;Grassland;VSa/MDM
CAM7;630611.1352;2957551.813;1133.194824;1133;1.01275;0.275766134;0.237840399;0;0;Arcilloso;M;Larrea;N;1;1;Dune;VSa/MDM
CAM8;630734.4917;2958562.66;1131.349609;1130;0;0.183874652;0.206846163;1;3;Arcilloso;M_A;Prosopis;flat;1;1;Grassland;VSa/MDM
